author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
淇之岸,22291,1613,36383,87378925,68614,53,影视,860,1214764,15098,"搞笑,bilibili新星计划,美人鱼,恶搞,魔性,电影剪辑,配音,猜猜我是谁,沙雕",【双倍快乐】猜猜我是谁&美人鱼,573590
Kira呆酱,23587,4565,35971,87364317,52473,52,影视,1576,1214994,21758,"元灿,下一站是幸福,张雨剑,宋威龙,元宋,bilibili新星计划,贺灿阳,影视剪辑,贺繁星,KILLER",假如元宋喜欢的是贺灿阳1.0 | 双黑师生恋 | 这回轮到贺繁星屋顶着火了 | 元灿,555969
IX_VIII,34757,1152,37105,88037392,45916,51,影视,1347,1222341,7933,"张钧甯,唐人街探案,陈雨锶,影视剪辑,电视剧,女性,王真儿,张艺上",【唐探女子群像|踩点向】献给你这枝恶之花,473531
Ulrica_Yu,48125,27195,38884,86848026,40337,50,影视,2682,1227380,6481,"博君一肖,王一博,肖战,蓝忘机,魏无羡,陈情令,忘羡,魔道祖师,影视剪辑,电视剧",【陈情令|剧版忘羡|博君一肖|饭制大电影】《老祖回魂》中篇,359761
伏旻丶,43769,1370,29596,90976051,79729,49,影视,1198,1229022,2103,"影视混剪,沈腾,励志人生,影视剪辑,一念天堂,bilibili新星计划,混剪,电影,夏洛特的烦恼,西虹市首富,飞驰人生",沈腾:“不仔细看，你真以为我演的只是喜剧片？”,882170
花七姥姥,56120,46631,77671,83335095,84408,48,影视,3889,1235425,30920,"影视混剪,任嘉伦,锦衣之下,陆绎,古装,打戏,燃,男神,混剪,踩点,2019新人嘉年华",锦衣之下/任嘉伦高燃踩点|| 进来你就出不去了，你大爷还是你大爷||陆绎超燃超A磕颜禁欲的男人 踩点揍，咬唇，超苏霸道The Phoenix ||打戏,1134299
摩西賣飛佛,21285,13190,46599,86111970,54005,47,影视,2625,1256220,15875,"影视混剪,任嘉伦,易烊千玺,张若昀,陈伟霆,许凯,钟汉良,严屹宽,军装,军阀,混剪",【处处吻×军装男神群像】白嫖？姐妹快进来馋身子！,920490
切粒粒,30816,5150,43354,86783152,42356,46,影视,1648,1259062,9975,"博君一肖,王一博,肖战,CP,多情种,同人,自制,全能打卡挑战",【博君一肖】「年度巨制·多情种」双向暗恋，甜虐交织 | 入戏太深，总会动情,316118
阿斗归来了,140713,12321,24256,87812131,122814,45,影视,2163,1262855,1544,"电影解说,魔戒,霍比特人,指环王",【阿斗】IMDb排名第7！史诗的终章！详细解说《指环王3王者归来》一个时代结束了,892633
1350亿光年,47119,2334,38013,87343575,61109,44,影视,2534,1271274,5756,"短片,旅游,bilibili新星计划,航拍,学生作品,风光,旅行",学生党能拍出什么样的作品？你都不敢相信这是真的。 年度航拍大片《路》使用御2 大疆 Mavic 2 pro,458327
探戈君,29958,1541,34355,89013059,105788,43,影视,1757,1276866,2554,"影视混剪,基努里维斯,bilibili新星计划,疾速追杀,枪声,混剪,影视剪影,踩点",【踩点狂魔/西装暴徒/爱狗人士】，极其舒服的踩点，暴力美学的魅力,744841
miooou,82815,4704,96019,84492001,105171,42,影视,1694,1282144,10742,"影视混剪,哈利波特,斯莱特林,全能打卡挑战,HP,混剪,踩点",【HP混剪】耗时50小时/哈利波特极致踩点衔接/视听盛宴 宝藏音效 1080p/永远的哈利波特，永远的霍格沃茨/谨以此献给哈利波特和我的童年,693580
小片片说大片,61625,14263,25337,91666266,128375,41,影视,3213,1282813,8434,"梨泰院Class,全能打卡挑战,朴叙俊,复仇,爱情,韩剧,反套路,电视剧解说,金多美",【片片】手撕心机婊，脚踢白莲花，这部剧有多爽？高燃逆袭剧《梨泰院Class》1-6,1173012
没头脑鹅,47024,2781,39171,87483535,49110,40,影视,1978,1290742,14359,"陈建斌,bilibili新星计划,古装,经典,燃,虐心",【四郎传/燃向/虐向】皇上的反击  •  陈建斌演技大赏 Eutopia,440186
迷你大萝卜,19104,25283,29340,90336599,143193,39,影视,4354,1298704,39691,"绿婆娘,舞法天女,bilibili新星计划,萌,可爱,影视剪辑",猛 男 的 成 长 之 路,1866402
花村游戏厅小学生,11594,8946,38675,86218391,26492,38,影视,565,1302056,3808,"短片,爱情公寓,爱5,花絮",最全爱5花絮--机密档案（持续更新）,732247
我是怪异君,104558,26434,23912,91606855,89341,37,影视,4065,1309003,6807,"怪异君致经典,少年包青天,怪异君,搞笑,剪辑,电视剧,经典,推理,包拯,怪异故事",55【怪异君致经典2】《少年包青天3》第一案,968142
爱睡觉的_Koala,18792,2037,32510,91099675,58710,36,影视,1503,1341646,2955,"全能打卡挑战,黑寡妇,小丑女,美女,伊娃格林,欧美女神,战斗女神,女神踩点,高燃,踩点衔接",你就是馋她的身子，你下贱。,1586086
胖段段_fre,20226,7332,39514,90983321,73339,35,影视,1199,1374649,4457,"迪丽热巴,刘诗诗,刘亦菲,赵丽颖,李沁,杨幂,佟丽娅,彭小苒,倪妮,郭珍霓,张嘉倪,Angelababy",这大概就是从此君王不早朝的原因吧,872362
墨尔本杜雨洁,63866,28812,25819,88560729,86037,34,影视,20105,1385535,12928,"寄生虫,bilibili新星计划,奥斯卡,韩国,影评杂谈",为何有中国观众get不到《寄生虫》？中国电影离奥斯卡还有多远？被忽略的中韩价值观差异[中020],1744790
一打五的猫,50083,3007,30264,89093543,172803,33,影视,1451,1393512,7325,"短片,自制,搞笑,喜剧,创意,剪辑",全 国 现 状,1426156
纸条少年,62253,24627,116208,79131438,134491,32,影视,2324,1404738,24707,"影视混剪,青春,影视剪辑,考研加油站,混剪,你的答案",高能混剪《你的答案》，相信你终会越过黑暗，扬起梦想的帆！,2116086
分流帽,36960,26070,98041,85036383,96139,31,影视,2253,1433115,14694,"爱情公寓5,孙艺洲,电视剧,花絮,成果,娄艺潇",【爱情公寓第5季55分钟稀有花絮合集】时隔多年，子乔美嘉有情人终成眷属，最后一季，一个故事一个宇宙的完结，一段记忆的永驻。除了原班人马的遗憾，挺好看的！老粉飘过,1575527
再说一遍不是俺,9976,2495,49930,87882647,49357,30,影视,746,1437250,5294,"肖战,王一博,魏无羡,蓝忘机,陈情令,影视剪影",来品一品来自外网令牌们的作品 全程震撼【陈情令混剪】｜肖战｜王一博｜汪卓成｜于斌｜,539424
翻拍小分队,93710,1833,29346,89225606,121648,29,影视,2791,1448801,14742,"短片,咏春,格斗,自制,功夫,甄子丹,叶问4",这才是真正的对决！《叶问4》！,1160854
仙不半点鱼,65667,14920,48501,87845914,76132,28,影视,3129,1474001,16478,"撒野,顾飞,蒋丞,全能打卡挑战",【仙鱼】撒野永远属于蒋丞和顾飞,380757
木鱼水心,89682,14308,35443,86869317,92920,27,影视,3664,1588627,24065,"请回答1988,影视鉴评挑战,木鱼水心,影视剪影,电影剪辑,韩剧,经典,电视剧,木鱼微剧场",【木鱼微剧场】《请回答1988》最好的韩剧，刷N遍依然感动（P1）,1424152
夜疯蝉,171463,9652,102666,85782163,141772,26,影视,5661,1618439,42143,"张若昀,庆余年,许凯,张榕容,刘昊然,陈道明,吴刚,bilibili新星计划,叶轻眉前传",【庆余年番外】从前有个叶轻眉 ——“若流芳千古，爱的人却反目。”(张榕容/张若昀/刘昊然/许凯),1382475
三叶棠,57272,9280,94393,84285073,198141,25,影视,2082,1707395,6423,"赵丽颖,女帝,古装,电影剪辑",【女性||踩点】“什么金枝玉叶，我要 权倾朝野 ”,2110817
L的朋友,163972,6825,102596,85017850,187505,24,影视,2212,1714921,11841,"爱情公寓5,爱情公寓,胡一菲,全能打卡挑战,OP,电视剧,青春,回忆,剪辑,60帧",【60帧】当《爱情公寓》全五季的主题曲一起播放，那应该是青春的味道【1080P】,2011520
像素企鹅,47116,3468,53163,92232733,97228,23,影视,2820,1717908,4219,"周星驰,正能量,励志,全能打卡挑战,影视剪辑,经典,青春,国产",“你没穷过，你不懂”,888450
若浪云溪,41272,5985,54119,87312373,102934,22,影视,2923,1828484,46549,"中国医生,徐晔,中山大学,帅哥,剪辑,纪录片,素人帅哥,南京鼓楼医院",【处处吻 / 徐晔】28岁医学博士，帅到病人成为粉丝,1313990
赤刃edge,102739,4139,59341,88805075,119837,21,影视,1694,1995003,5018,"情人节一起嗑CP,诸葛大力,关谷神奇,吕子乔,爱情公寓4,成果,曾小贤,爱情公寓,爱情公寓5,胡一菲",爱 情 公 寓 6  【全员到齐】,998893
在下伍十九,89132,14965,56741,86597132,105004,20,影视,2190,2008953,9508,"影视混剪,张伟,李佳航,爱情公寓,bilibili新星计划,张益达,剪辑,混剪,青春,影视剪影,电视剧",【张伟个人向】致爱情公寓最有种的男人，活的最努力的人，张伟,1099950
反手摸你穷,21304,4492,66858,86883298,83477,19,影视,2993,2056053,25585,"趣闻,黑帮片,教父,爱尔兰人,好家伙,BUZZFEED,黑手党,youtube,中字,专家点评",【专家点评】邀请真正的黑帮老大来评价《教父》《爱尔兰人》等经典黑帮片：第一弹,1743701
长华楚楚,48841,57775,65768,93048245,259236,18,影视,34268,2238336,95402,"肖战,粉丝",肖战：我到底造了什么孽，有这样的粉丝,4276228
善良的诚哥,105370,5548,66148,90016118,150778,17,影视,2450,2265798,34443,"搞笑,祖安诗人,配音秀,盗视频,娱乐,恶搞,日常,高能,中配,脑洞",来自祖安up的一封信——致盗哥,1305540
欢柴犬,68101,5516,72703,86361699,129768,16,影视,2881,2282038,16648,"邱淑贞,bilibili新星计划,美女,女神,王祖贤,李嘉欣",［处处吻］在?坚持30秒算我输?,2347920
年方两万八,119630,17363,73949,87484344,138365,15,影视,3727,2351171,55267,"蒋欣,年甄,孙俪,橘里橘气,甄嬛传,bilibili新星计划,华妃,影视剪辑,拉郎",【华妃X甄嬛】高能|脑洞|拱手河山换不回你,916039
骚糖鸽鸽,91050,3908,68084,90916789,150404,14,影视,1846,2353568,5764,"功夫,国产,武术,电影剪辑,动作,影视剪辑,电影,叶问,bilibili新星计划,踩点",前方高能！感受中国武术带来的视觉冲击“这就是专业！”重置版,2101684
俊孩玄晔,54205,6472,74845,87426710,249691,13,影视,1099,2435860,35347,"超级英雄,雷神,钢铁侠,中文梗,沙雕,影视剪辑,搞笑,漫威",让你笑到岔气的漫威中文梗！,2612447
济公爷爷_游本昌,302606,43865,57235,90880253,445430,12,影视,19203,2564587,9967,"短片,童年回忆杀,游本昌,济公,正能量,影视,明星",亲爱的娃娃们：我是济公爷爷游本昌，今天我入驻B站啦 ！,2086361
津木菌,50695,19438,80063,88736757,128983,11,影视,7270,2602002,72629,"舞法天女,猛男必看,bilibili新星计划,法苏天女,绿宝,BGM,女神,萝莉,影视剪影,awsl",猛 男 收 割 机,3496989
爱打瞌睡的考拉-,68073,6940,97029,91458840,116075,10,影视,1991,2775324,9253,"朱一龙,黄轩,天盛长歌,琅琊榜,宇文护,燃,权谋,全能打卡挑战,事业",“我们的存在 本身就是谋逆”【燃向双声道|权谋|帝王霸业】,1261006
小榮君,139960,3296,379971,71516555,129532,9,影视,2614,2974708,13640,"美剧,英语听力,老友记,英语学习,FRIENDS,英语口语",【老友记第一季】全网最硬核美剧学习笔记丨英语口语丨英语听力丨背单词,2026798
记得多微笑,91019,14002,108113,92341698,276030,8,影视,12765,3309614,34520,"负能量,现实,人生,电影剪辑,生活,爱情",“每日一遍 防止早恋”,3989886
小P孩儿呐,103769,8434,117094,90871162,258804,7,影视,6570,3486908,64687,"buttercup,和珅,极限反杀,喜剧,原创,纪晓岚,王者操作,国产",极 限 反 杀,2863776
_青红造了个白_,226342,12828,116405,88620845,318642,6,影视,4768,3863566,138915,"哪吒,乡村爱情",象  牙  山  哪  吒,3304501
小x文,241641,23409,133867,88804854,284599,5,影视,3603,4176397,16537,"张伟,诸葛大力,李佳航,爱情公寓5,爱情公寓,张益达,生活,电视剧,朋友",当爱情公寓人去楼空的时候 最难过的人或许就是张伟吧,2761009
